Ricness,PD,AvTD,EDGE1
1,0.035226265,0.04654964,1.09004341862268
0,0,0,0
6,0.841018265,1.05381428,5.61471012509058
0,0,0,0
0,0,0,0
7,0.524459765,0.65169399,7.76099983885048
20,1.975806145,2.091383772,20.1512565676061
35,3.38933385499991,2.08433217766676,39.7894212506815
18,1.9942893,2.126681065,21.4353566171041
56,42.5460944099999,77.8272819775001,66.213513200821
101,14.964117605,8.862985010778,115.553304992487
70,12.492893115,7.29203283333355,77.8841776808943
15,2.3069615,2.62542447333333,16.9850187298722
7,1.164072425,1.71688038,8.16118993575754
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
46,7.563413955,4.93139089166667,59.8001225145996
0,0,0,0
49,9.68455312999991,8.65896048566676,56.6339034774502
4,0.979513295,0.93799782,5.04504859616368
12,3.283101145,2.45010461666666,11.3354050608173
32,6.2428887,5.09421292,38.1243799261999
32,8.12745167999991,8.03643188200009,34.608654085514
16,5.762461165,4.22303808333333,20.2726279092928
23,6.45333729499999,5.92213790166667,25.8524653613858
38,9.5818537649999,10.3005189633334,37.8433871128294
0,0,0,0
3,0.637061125,0.51495969,2.87736794739285
4,0.70480665,0.42850025,3.40079466949855
9,1.468538995,1.55418269,9.06943176090166
16,3.015427345,1.85685223666667,22.143763559434
3,1.17163146,1.35633033,2.55617850413517
3,0.50249089,0.6338445,2.4389105303489
4,0.62633405,0.74315723,4.12287930079697
6,1.402257875,1.3544556,4.97660204018402
9,2.238023775,2.51626263,11.3687281773776
11,1.82457300999991,2.27270660500009,15.0061282586146
1,0.220986255,0.24830769,0.889693049704112
5,1.3368983,1.5381678,6.01252262387339
8,1.05931019,1.29528322,7.5761604880502
83,46.4167390149999,5.86576751911915,90.7708963025104
109,49.1207982800001,9.01958138827796,125.236723885304
41,4.563674345,4.07033920145238,44.9142224892309
30,3.426760835,3.19130687533333,31.6964827658357
13,1.313404335,1.23362881,12.5315932884436
8,0.857587749999907,0.919801550000092,8.6963821344505
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
30,3.003756995,2.25626929057143,38.0489134761677
